comment	label
nem hiszem el, hogy így mersz megjelenni, ennyi súlyfelesleggel inkább takarhatnád magad, nem?	fat
erre a plusz súlyra nem lennék büszke	fat
ez a ruhadarab talán jobban állna valakin, akinek nincs ekkora súlyfeleslege… csak mondom.	fat
jó dolog az önbizalom, de ne csodálkozz, ha másokat nem érdekel, hogy te elfogadod-e a súlyfelesleged.	fat
talán ideje lenne fogyni, megszabadulni attól a sok plusz kilótól.	fat
fogynod kellene, ha tovább akarsz élni mint 30	fat
nem mindenki született vékonynak, de ez már túlmegy a természetes határon. talán egy kicsit dolgozhatnál ezen.	skinny
vicces, hogy próbálsz nagyobbnak tűnni, de ez a magasság tényleg nem segít rajtad. talán el kéne fogadnod, hogy ez sosem lesz elég.	height
az a gond, hogy még egy létrával se látnál ki a tömegből. talán jobb lenne, ha nem próbálnál meg érvényesülni, ha egyszer ennyire alacsony vagy.	height
egyszerűen nem értem, hogy miért próbálsz kitűnni ilyen testalkattal. nem igazán lehet komolyan venni valakit, aki ilyen apró.	height
komolyan, így akarsz emberek közé menni? olyan vagy, mint egy óriás, ez nem túl vonzó.	height
nem túl előnyös, hogy mindenkinek a fejére nézel. talán ne próbáld meg még jobban kihangsúlyozni ezt a magasságot.	height
nagyon feltűnő, és őszintén szólva kicsit zavaró is, hogy ilyen magas vagy.	height
már bocsánat, de ez a magasság elég félelmetes. kicsit furcsán hat, amikor valaki ennyire kirívóan magas.	height
komolyan ilyen alacsonyan szeretnél labdába rúgni? ez elég reménytelenül fest innen nézve.	height
ha ennyire pici vagy, talán meg kéne próbálnod valami mást, ahol nem számít a magasság. itt nem sok esélyed van érvényesülni.	height
alacsony embereknek nem biztos, hogy ez az a hely, ahol meg kéne próbálkozni. olyan furcsán fest ez a méret.	height
nem mindenki örül annak, hogy valaki ilyen nagyra nőtt. kicsit félelmetes ez a magasság, hogy őszinte legyek.	height
elhiszem, hogy próbálsz beilleszkedni, de ennyire magas emberekkel nehéz barátkozni. kitörik a nyakuk ettől a magasságtól.	height
talán ha kicsit alacsonyabb lennél, jobban illeszkednél ide.	height
nagyon bátor vagy, hogy ilyen alacsonyan is kiállsz a véleményedért. de lehet, hogy nem mindenki vesz komolyan egy ilyen méret mellett.	height
nem biztos, hogy jó ötlet ennyire hangsúlyozni ezt a magasságot. néha kicsit nyomasztó lehet mások számára.	height
hogy lehet, hogy nem távolítod el a testszőrzeted? ez egy kicsit elavult, nem gondolod?	bodyhair
kár, hogy nem érdekel téged a megjelenésed ez a szőrzet nem néz ki jól, amikor a nyár jön.	bodyhair
miért nem borotválod le a lábad? tényleg ennyire nem érdekel a külsőd?	bodyhair
hogy lehet, hogy nem borotválod a lábad? ez tényleg undorító.	bodyhair
komolyan, ki gondolja, hogy ez így rendben van? olyan, mintha egy barlangi ember lennél.	bodyhair
bátor dolog tőled, hogy nem borotválkozol, de ez egy kicsit sok. ki akar így kinézni?	bodyhair
lehet, hogy neked ez természetes, de a legtöbb ember nem szeretné ezt látni.	bodyhair
miért nem borotválod a hónaljad?	bodyhair
az a lábszőr, amit hordasz, olyan, mintha egy állat lennél. nehezen tudom elhinni, hogy ezt nem érzed.	bodyhair
tehát még mindig nem próbáltál lefogyni? a hájas kinézeted nem túl vonzó.	fat
ahol te mész, ott biztos mindig lesz elég hely, mert olyan elhízott vagy.	fat
az dagadékok nem érthetik meg az egészséges életmódot.	fat
szerintem nem lenne nehéz kicsit jobban odafigyelni az étkezésedre, ha nem akarsz dagi maradni.	fat
Súlyos egyéniség lehetsz	fat
a dagi emberek sportot űznek az evésből.	fat
még a légzőgyakorlatok is nehezen mennek neked te dagadék.	fat
hát te nagyon dagi vagy.	fat
enyi plusz kilóval elhiszem, hogy nehéz a mozgás.	fat
nagydarab emberek nem igazán tudják, mi a szép.	fat
hájas kinézeted van, ez így nem maradhat sokáig, nem gondolsz az egészségedre.	fat
a dagadt emberek csak akadályozzák a körülöttük lévőket.	fat
képzeld el, hogy dagi vagy, és még mindig nem akarsz változtatni!	fat
dagi és nem hajlandó diétázni? ez vicces!	fat
túlsúlyos vagy, és ez senkit sem érdekel a környezetedben.	fat
az olyan nagydarab emberek, mint te, sosem érthetnek meg minket.	fat
miért vagy olyan dagi? nem tudod, hogy ez nem vonzó?	fat
mi van hájpacni fáj az igazság?	fat
de nagy tehén vagy	fat
az elhízott barátnőd csak rontja az összképet.	fat
disznónak nézel ki, és ezt nem tudod tagadni.	fat
